id,nome,paisnascimento,biografia
1,Roberto Martins Figueiredo,Brasil,"Roberto Martins Figueiredo é um biomédico brasileiro, conhecido como Dr. Bactéria ao participar do quadro Tá limpo do programa Fantástico. Na série, ele falava dos perigos microscópicos que se escondem no cotidiano, esclarecendo dúvidas sobre contaminação de alimentos, higiene, saúde pública e temas relacionados."
2,Daniel Kahneman,Israel,"Daniel Kahneman é um teórico da economia comportamental, a qual combina a economia com a ciência cognitiva para explicar o comportamento aparentemente irracional da gestão do risco pelos seres humanos."
3,Hilary Duff,Estados Unidos,
4,Robson Pinheiro,Brasil,Robson Pinheiro Santos é um médium psicógrafo brasileiro. Suas obras psicografadas destacam-se pela influência da Umbanda.
5,Cecelia Ahern,Irlanda,
6,Arlene Eisenberg,Estados Unidos,"Arlene Leila Scharaga Eisenberg foi uma autora mais conhecida por suas contribuições aos pais na literatura de auto-ajuda. Eisenberg co-escreveu o que foi descrito como a 'bíblia da gravidez americana', o que esperar quando você está esperando"
7,Sandee Hathaway,Canadá,
8,Heidi Murkoff,Estados Unidos,Heidi Murkoff é autora da série de guias de gravidez O que esperar quando você está esperando. Ela também é a criadora de WhatToExpect.com e fundadora da Fundação What to Expect. A revista Time nomeou Murkoff como uma das 100 pessoas mais influentes do mundo em 2011.
9,Julio Cesar de Barros,Brasil,Jornalista e Escritor
10,Maria José Valero,Portugal,Bióloga e Escritora
11,Jared Diamond,Estados Unidos,
12,Monteiro Lobato,Brasil,"José Bento Renato Monteiro Lobato foi um escritor, ativista, diretor e produtor brasileiro. Foi um importante editor de livros inéditos e autor de importantes traduções."
13,Machado de Assis,Brasil,"Joaquim Maria Machado de Assis foi um escritor brasileiro, considerado por muitos críticos, estudiosos, escritores e leitores um dos maiores senão o maior nome da literatura do Brasil."
14,Yuval Noah Harari,Israel,Professor israelense de História
