shopper_id,seniority,found_rate,picking_speed,accepted_rate,rating
1fc20b0bdf697ac13dd6a15cbd2fe60a,41dc7c9e385c4d2b6c1f7836973951bf,0.8606,1.94,1.0,4.87
e1c679ac73a69c01981fdd3c5ab8beda,6c90661e6d2c7579f5ce337c3391dbb9,0.8446,1.23,0.92,4.92
09d369c66ca86ebeffacb133410c5ee1,6c90661e6d2c7579f5ce337c3391dbb9,0.8559,1.56,1.0,4.88
db39866e62b95bb04ebb1e470f2d1347,50e13ee63f086c2fe84229348bc91b5b,,2.41,,
8efbc238660053b19f00ca431144fdae,6c90661e6d2c7579f5ce337c3391dbb9,0.877,1.31,0.92,4.88
48851e4b4e584d424d84c5caf2e9a30e,6c90661e6d2c7579f5ce337c3391dbb9,0.9048,1.1,0.92,4.72
561cf6ce565ddf83a028325444a3db01,50e13ee63f086c2fe84229348bc91b5b,0.7949,4.17,0.56,4.83
0cfaf7c3c140033cc4d70f3d98c39d39,50e13ee63f086c2fe84229348bc91b5b,0.907,1.84,0.84,5.0
026229d08139f0417381715cf4818bfb,6c90661e6d2c7579f5ce337c3391dbb9,0.8523,1.17,0.96,4.96
fe06e5d24d2e58abd8d2f731a65c9146,41dc7c9e385c4d2b6c1f7836973951bf,0.8521,1.71,1.0,4.96
8ba81f2bc39e3323b2596c17cf21500a,41dc7c9e385c4d2b6c1f7836973951bf,0.8497,1.29,1.0,4.76
5b5377ca231f383025b3349246e5faad,6c90661e6d2c7579f5ce337c3391dbb9,0.8379,1.22,0.92,4.76
ebb6d17d16784e0b8208a362f56a594a,41dc7c9e385c4d2b6c1f7836973951bf,0.8191,1.41,1.0,4.64
99d85b886ad7616ad5e6e243975d94f4,6c90661e6d2c7579f5ce337c3391dbb9,0.8475,1.5,0.92,4.96
405ccce0617a36e2d6ae79344d704ae6,41dc7c9e385c4d2b6c1f7836973951bf,0.8935,2.88,0.96,4.92
c5c15ba8c4dd7906c47ae913817c02a9,6c90661e6d2c7579f5ce337c3391dbb9,0.8362,1.78,0.866666666666667,4.44
8bc69c9d66e9131313cf479a1dfaf440,6c90661e6d2c7579f5ce337c3391dbb9,0.8918,1.12,0.875,4.93
7470554ee82ca53d2b3e734f69dab6e0,6c90661e6d2c7579f5ce337c3391dbb9,0.8691,1.81,0.96,4.84
6e734ffbb5967250eaadfe7e6f4550ae,6c90661e6d2c7579f5ce337c3391dbb9,0.8987,1.09,1.0,4.96
8b3f6b41a5c74b8e738a63687f8a2b61,50e13ee63f086c2fe84229348bc91b5b,0.8608,2.2,0.8,4.92
3f48e02fe735dc4db0ca34d96f38d18e,6c90661e6d2c7579f5ce337c3391dbb9,0.8872,1.24,0.96,4.96
8bfa36f047569a897a3f3660349afc0a,50e13ee63f086c2fe84229348bc91b5b,0.8488,2.21,0.92,4.8
dbf135f439eff84590e75c40dee7f0ca,50e13ee63f086c2fe84229348bc91b5b,0.8328,1.72,0.80952380952381,5.0
9280013e6763df6ad1618e781ff04f7f,41dc7c9e385c4d2b6c1f7836973951bf,0.8595,2.22,0.88,4.89
69c87348efc3db86c201b38736a8b678,6c90661e6d2c7579f5ce337c3391dbb9,0.879,1.46,1.0,4.76
e2dbb5d6b92d9c9d55142e8f840b639f,50e13ee63f086c2fe84229348bc91b5b,0.8326,1.29,0.84,4.72
77514dc4535a70ecbc0df7c9291286ab,6c90661e6d2c7579f5ce337c3391dbb9,0.8564,1.22,0.88,4.88
8f9e69b8ac8d0a2d950e344968474687,50e13ee63f086c2fe84229348bc91b5b,0.7611,1.93,0.76,4.88
d36dc84bda882ff3e9463e1c40c25e6f,6c90661e6d2c7579f5ce337c3391dbb9,0.8721,1.25,0.92,5.0
ae9062e7aa7d514cbb0903934a64f6ca,50e13ee63f086c2fe84229348bc91b5b,0.8267,2.94,0.84,4.87
6316f41f8c516caaeb996cf65627aa53,6c90661e6d2c7579f5ce337c3391dbb9,0.8991,1.18,0.96,4.84
d7088004ba18d6a16280f794e698de3f,6c90661e6d2c7579f5ce337c3391dbb9,0.9274,0.96,0.88,4.76
8676329aec9bb5619f9b50d45f2df794,50e13ee63f086c2fe84229348bc91b5b,0.8308,3.89,0.947368421052632,5.0
7605bb3ea08faae0c786b882a27e9f60,6c90661e6d2c7579f5ce337c3391dbb9,0.8618,1.54,0.96,4.96
8386a689ebc114f3379c971ab3e163cf,50e13ee63f086c2fe84229348bc91b5b,0.8642,1.67,0.8,4.96
a3dda7060d3f254e05fb0e3b8f6017da,50e13ee63f086c2fe84229348bc91b5b,0.8251,1.5,0.84,4.79
cea50f5aa525cfe6d2f445fec7c8ef31,6c90661e6d2c7579f5ce337c3391dbb9,0.8529,1.98,0.933333333333333,4.86
8792104d9d78afa77415b8d640454248,50e13ee63f086c2fe84229348bc91b5b,0.85,1.62,0.68,4.96
326ad8eb45d2b9feea222f56ee1af4fe,6c90661e6d2c7579f5ce337c3391dbb9,0.8723,1.65,0.96,4.88
dd299f2cda42f8adec11d81cd3b042ad,6c90661e6d2c7579f5ce337c3391dbb9,0.8702,1.44,0.92,4.76
c2bfddf28414cfb9a1ff19e23dd6d8f5,6c90661e6d2c7579f5ce337c3391dbb9,0.8779,1.27,0.96,5.0
3037b3b45878cc009165ab18046545e2,bb29b8d0d196b5db5a5350e5e3ae2b1f,,2.19,1.0,
bbbc4c9a1b768b2b2ee21774d22da746,6c90661e6d2c7579f5ce337c3391dbb9,0.8513,1.24,1.0,4.96
d65438fbc71966e1738b328c494e57fd,6c90661e6d2c7579f5ce337c3391dbb9,0.8847,1.0,1.0,4.76
c9c267f3d6fdd69a60d29799a6692de7,50e13ee63f086c2fe84229348bc91b5b,0.8904,5.8,0.85,4.5
7364b2cb7b2acdaa8e02cfaf26218ec5,41dc7c9e385c4d2b6c1f7836973951bf,0.8935,2.62,0.96,4.85
7687298ece86a580b729fa3cb6b83e62,41dc7c9e385c4d2b6c1f7836973951bf,0.847,1.64,0.96,4.6
4c1529fab866a4d0468b0e638f224ad8,6c90661e6d2c7579f5ce337c3391dbb9,0.868,1.39,1.0,4.96
767014694eecb27868fcab3e18bbeb2d,bb29b8d0d196b5db5a5350e5e3ae2b1f,,2.19,0.8,
57787597f46a7bd275f9db5505ee28fc,41dc7c9e385c4d2b6c1f7836973951bf,0.8393,2.36,1.0,4.8
43ad600bfd3b16b220d90a1f6e25681e,bb29b8d0d196b5db5a5350e5e3ae2b1f,,2.19,,
a28d244ac350d0e17d02535249326f61,6c90661e6d2c7579f5ce337c3391dbb9,0.8665,1.52,1.0,4.68
b8004e89911ba9d359147012b614a10c,50e13ee63f086c2fe84229348bc91b5b,0.8704,1.35,0.84,4.92
475ed2daf801a116bd8b6acdc248559a,50e13ee63f086c2fe84229348bc91b5b,0.8957,2.67,0.72,5.0
feb307a85642ff0971e8f7313797d1e3,50e13ee63f086c2fe84229348bc91b5b,0.8415,3.71,0.8,4.7
aa05ac5b30c08fbac060978b27e31e06,50e13ee63f086c2fe84229348bc91b5b,0.7869,1.38,0.84,4.88
a68dcb7157515a3a7a591d4eeb3e57b9,41dc7c9e385c4d2b6c1f7836973951bf,0.8598,1.71,1.0,5.0
84aa952b59f244a8da898691803184d1,50e13ee63f086c2fe84229348bc91b5b,0.8326,1.93,0.84,4.96
0de7ebc9de0ab6ba3883b5132b33265d,6c90661e6d2c7579f5ce337c3391dbb9,0.8832,1.25,1.0,4.84
125b47a78dd397e874a67ceffe11d6b2,6c90661e6d2c7579f5ce337c3391dbb9,0.8876,1.41,0.88,4.96
87bbbd8056558b96aeb77b4ecc75fef9,6c90661e6d2c7579f5ce337c3391dbb9,0.8668,1.76,0.88,4.84
a947d34bd13e2fed48d00b16b7c1250c,50e13ee63f086c2fe84229348bc91b5b,0.8315,3.01,1.0,4.71
5de1802b720ff50057f272a909e22285,41dc7c9e385c4d2b6c1f7836973951bf,0.8373,2.86,0.88,4.73
95cba03711228915f2aaa67a8924a1f8,6c90661e6d2c7579f5ce337c3391dbb9,0.87,1.62,1.0,4.8
321f6840d6c2bb17bf95b045111f9028,6c90661e6d2c7579f5ce337c3391dbb9,0.8627,1.3,1.0,4.92
0acfc1c6848f702b2a05b6836e0bed28,50e13ee63f086c2fe84229348bc91b5b,0.8381,4.14,0.68,4.82
d1937bc01acc23e2356c7b72436ecc43,41dc7c9e385c4d2b6c1f7836973951bf,0.8678,3.48,0.684210526315789,4.44
976e081c5c6b8b6fbe3fd624475cc3bf,6c90661e6d2c7579f5ce337c3391dbb9,0.8508,1.44,0.96,4.76
35d7a30208b12cc51bfe35d0b4dd5c22,41dc7c9e385c4d2b6c1f7836973951bf,0.8491,3.0,1.0,4.84
d29cf34486c68cf1d0ffce047dbf12e0,6c90661e6d2c7579f5ce337c3391dbb9,0.8388,1.63,0.96,4.96
7abe71bd35d9f9f61a63be0da45b04ca,6c90661e6d2c7579f5ce337c3391dbb9,0.9247,2.0,0.92,5.0
fe3c9f683121b6f5375e4563374001c3,41dc7c9e385c4d2b6c1f7836973951bf,0.8199,2.51,0.941176470588235,4.83
e79e83d545518d6c1d8db01005ba9ae7,41dc7c9e385c4d2b6c1f7836973951bf,0.8406,2.27,0.5,
0359b2e8ae4c3c8c54fcd8b52e7c602f,6c90661e6d2c7579f5ce337c3391dbb9,0.8898,1.26,0.88,4.96
f7b266ae2977de7bac7350e3f91df9c9,41dc7c9e385c4d2b6c1f7836973951bf,0.9055,2.3,0.944444444444444,4.93
400a3180c79508917497cc13b9eb9e5e,41dc7c9e385c4d2b6c1f7836973951bf,0.8444,2.24,0.92,4.96
e2b468aa7dc6403f70ae7e20c22f15d6,6c90661e6d2c7579f5ce337c3391dbb9,0.7988,1.4,0.88,4.92
8702b72933e41553bba0f01066e31b9b,6c90661e6d2c7579f5ce337c3391dbb9,0.8788,1.13,0.88,4.76
83d6a03f8fb3064db8eefd411cfe4005,6c90661e6d2c7579f5ce337c3391dbb9,0.8574,1.29,0.92,4.88
dfb7ea1b0061ee7d8a1a88390c4542fe,6c90661e6d2c7579f5ce337c3391dbb9,0.8742,1.35,1.0,4.64
